DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B	N2.0M0.5A	N11.0M0.5A
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
21.1000	15.3975	14.6743	27.9189	30.2575	10.5699	17.1354	16.7362	16.2170
21.2000	14.4699	14.2357	28.7589	31.3457	10.1066	17.3039	15.4860	15.0976
21.3000	13.3318	13.8752	29.5507	31.9509	9.4940	17.1823	14.1437	13.9014
21.4000	12.2557	13.5766	29.9932	31.7513	8.8144	16.6329	12.9966	12.8902
21.5000	11.3857	13.3179	28.5023	30.6008	8.1810	15.6735	12.0778	12.0859
21.6000	10.6411	13.0818	24.7798	28.5997	7.6633	14.4133	11.2736	11.3856
21.7000	9.9667	12.8778	21.5412	25.9156	7.2905	12.9751	10.5392	10.7502
21.8000	9.4108	12.6905	19.3008	23.1853	7.0870	11.6654	9.8704	10.1760
21.9000	9.0194	12.5002	17.5256	21.0912	7.0245	10.7337	9.3530	9.7356
22.0000	8.7570	12.3108	16.0533	19.5455	7.0472	10.1219	8.9772	9.4146
22.1000	8.5528	12.1087	14.7840	18.3342	7.1097	9.7190	8.6911	9.1675
22.2000	8.3860	11.8743	13.8801	17.3328	7.1659	9.4446	8.4774	8.9821
22.3000	8.2632	11.6065	13.1930	16.4689	7.2264	9.2791	8.3302	8.8522
22.4000	8.1800	11.3120	12.3543	15.7797	7.3159	9.2502	8.2029	8.7366
22.5000	8.1194	11.0161	11.5202	15.1741	7.3939	9.3295	8.1185	8.6561
22.6000	8.0665	10.7344	10.9539	14.6168	7.4678	9.4896	8.0531	8.5903
22.7000	7.9961	10.4813	10.4698	14.1974	7.5774	9.7161	7.9652	8.5048
22.8000	7.9268	10.2582	10.1417	13.9029	7.7022	9.9856	7.8609	8.4046
22.9000	7.8617	10.0589	10.0013	13.6260	7.7832	10.1910	7.7927	8.3377
23.0000	7.8282	9.8870	9.8972	13.3541	7.8451	10.3348	7.7527	8.2960
23.1000	7.8194	9.7482	9.6241	13.1010	7.9218	10.4631	7.7235	8.2614
23.2000	7.8046	9.6207	9.3598	12.8422	7.9938	10.5675	7.6936	8.2247
23.3000	7.7645	9.4842	9.3382	12.5527	8.0375	10.6343	7.6712	8.1943
23.4000	7.7126	9.3565	9.3625	12.2820	8.0771	10.7193	7.6303	8.1479
23.5000	7.6805	9.2412	9.2274	12.0321	8.0995	10.7994	7.6014	8.1117
23.6000	7.6786	9.1341	9.0648	11.7171	8.0781	10.8114	7.6145	8.1096
23.7000	7.6865	9.0429	8.9142	11.3244	8.0361	10.7651	7.6607	8.1328
23.8000	7.6900	8.9699	8.7533	10.9213	8.0283	10.7423	7.6905	8.1352
23.9000	7.6649	8.9006	8.6416	10.5517	8.0416	10.7594	7.6996	8.1148
24.0000	7.6201	8.8196	8.7149	10.2406	8.0573	10.7880	7.6933	8.0810
24.1000	7.5683	8.7442	8.8144	9.9953	8.0685	10.8198	7.6797	8.0433
24.2000	7.5401	8.6867	8.7948	9.7941	8.0683	10.8459	7.6779	8.0178
24.3000	7.5371	8.6332	8.7264	9.5897	8.0431	10.8165	7.7101	8.0229
24.4000	7.5408	8.5763	8.6672	9.3798	8.0107	10.7447	7.7557	8.0410
24.5000	7.5405	8.5156	8.6412	9.2149	8.0083	10.6853	7.7862	8.0480
24.6000	7.5177	8.4518	8.6289	9.1085	8.0391	10.6607	7.7831	8.0279
24.7000	7.4792	8.3844	8.7043	9.0307	8.0758	10.6588	7.7661	7.9968
24.8000	7.4433	8.3237	8.8182	8.9729	8.1115	10.6657	7.7490	7.9668
24.9000	7.4218	8.2743	8.8175	8.9439	8.1450	10.6857	7.7358	7.9419
25.0000	7.4192	8.2268	8.7702	8.9071	8.1619	10.6840	7.7434	7.9356
